date,symbol,open,high,low,close,Volume BTC,Volume USD
29/04/2018,BTC/USD,9352.97,9538.75,9180,9393.99,10940.71803,102776995.8
28/04/2018,BTC/USD,8916.54,9442.34,8854.47,9345.11,15558.4023,145394980.9
27/04/2018,BTC/USD,9277.32,9387.82,8901.09,8921.43,11375.51438,101485855.2
26/04/2018,BTC/USD,8855.07,9326.79,8647.29,9274.48,20042.9697,185888121.6
25/04/2018,BTC/USD,9648.36,9755.53,8751,8864.99,33035.90404,292862959
24/04/2018,BTC/USD,8942,9737.16,8930,9648,20460.50898,197402990.7
23/04/2018,BTC/USD,8781.7,9006.39,8771.22,8946.95,10286.11771,92029380.89
22/04/2018,BTC/USD,8924.93,9036.52,8760,8789.96,9346.451759,82154937.11
21/04/2018,BTC/USD,8865.78,9023.4,8608,8920.71,15336.30793,136810755.5
20/04/2018,BTC/USD,8273,8934,8216.9,8861,16059.62267,142304316.5
19/04/2018,BTC/USD,8172.83,8297.99,8074.44,8271.31,9436.846328,78055081.4
18/04/2018,BTC/USD,7890.87,8235,7870.35,8172.84,9227.204598,75412466.83
17/04/2018,BTC/USD,8054.68,8160.85,7806.81,7890.87,9277.151215,73204794.21
16/04/2018,BTC/USD,8353.43,8424.99,7905,8048.15,10866.60296,87456050.59
15/04/2018,BTC/USD,8003.39,8417,8001.23,8354.22,7542.840816,63014551.6
14/04/2018,BTC/USD,7885.9,8232.14,7835,8000.41,8935.530715,71487909.29
13/04/2018,BTC/USD,7923.78,8239.33,7753.32,7896.92,19605.94275,154826561.4
12/04/2018,BTC/USD,6940.94,8069.34,6758.45,7923.78,19033.38033,150816318.4
11/04/2018,BTC/USD,6824.75,6984.92,6809.26,6940.94,5825.410646,40433825.77
10/04/2018,BTC/USD,6782.39,6900,6653.21,6835.67,6480.192764,44296459.27
09/04/2018,BTC/USD,7027.26,7175.83,6611.49,6780.1,10103.91622,68505562.34
08/04/2018,BTC/USD,6904.21,7104.52,6894.8,7027.26,4352.697942,30587540.14
07/04/2018,BTC/USD,6627.7,7069.13,6600.99,6904.9,7683.041653,53050634.31
06/04/2018,BTC/USD,6771.3,6850,6510,6618.33,8478.418069,56112968.66
05/04/2018,BTC/USD,6799.37,6928.7,6578.95,6771.69,11894.53598,80546110.34
04/04/2018,BTC/USD,7415.53,7430,6710.38,6799.95,15779.20247,107297787.8
03/04/2018,BTC/USD,7052.75,7506.84,7001.28,7416.27,16089.54163,119324384.9
02/04/2018,BTC/USD,6816.31,7106.5,6759.96,7052.76,13624.16036,96087933.19
01/04/2018,BTC/USD,6926.5,7045.71,6427.16,6813.52,18046.94087,122963192.6
31/03/2018,BTC/USD,6839.63,7231.73,6794.26,6928.62,11579.59706,80230627.76
30/03/2018,BTC/USD,7086.14,7302.35,6550,6850,29101.44803,199344919
29/03/2018,BTC/USD,7932.41,7968,6914.53,7088.38,22138.11413,156923365.5
28/03/2018,BTC/USD,7791.69,8104.98,7723.03,7932.41,8437.64468,66930857.03
27/03/2018,BTC/USD,8152.26,8211.62,7742.11,7791.7,12385.25028,96502154.64
26/03/2018,BTC/USD,8451.12,8500,7831.15,8149.66,17693.41534,144195319.3
25/03/2018,BTC/USD,8541.96,8680,8368.63,8453.9,9155.912148,77403165.71
24/03/2018,BTC/USD,8917.99,9020,8505,8547,9731.982368,83179253.3
23/03/2018,BTC/USD,8708.52,8920.79,8265,8920.79,13749.78486,122658943.3
22/03/2018,BTC/USD,8892.18,9099.59,8503.52,8704.67,12587.63392,109571199.4
21/03/2018,BTC/USD,8904.02,9188.1,8754.83,8893.79,12100.99713,107623727.3
20/03/2018,BTC/USD,8596.79,9051,8313.01,8904.02,13454.82226,119802006.5
19/03/2018,BTC/USD,8205.55,8718.74,8114.17,8596.93,19396.08836,166746813.9
18/03/2018,BTC/USD,7860.83,8324.92,7325.37,8188.24,19547.36115,160058484.4
17/03/2018,BTC/USD,8258.54,8356.4,7730.23,7860.83,12048.66889,94712537.88
16/03/2018,BTC/USD,8265.05,8613.06,7914.08,8258.54,16498.62434,136254549
15/03/2018,BTC/USD,8195.99,8425,7682,8265.05,18387.61139,151974527.5
14/03/2018,BTC/USD,9152.07,9356.14,7948,8196.69,21191.02314,173696247.4
13/03/2018,BTC/USD,9115.24,9482.79,8830,9142.32,16001.47535,146290608.1
12/03/2018,BTC/USD,9535.04,9892,8742.07,9120.75,18751.02058,171023371
11/03/2018,BTC/USD,8795.04,9768.37,8450,9535.04,16407.54238,156446572.9
10/03/2018,BTC/USD,9228.83,9514.96,8697,8791.47,12886.58858,113292056.9
09/03/2018,BTC/USD,9293.06,9420.39,8366,9230,29014.16684,267800760
08/03/2018,BTC/USD,9904.52,10150,9078.95,9285.32,22522.42747,209127946.2
07/03/2018,BTC/USD,10723.01,10911.78,9450,9913.03,26116.51185,258893765.4
06/03/2018,BTC/USD,11417.39,11420.01,10560.19,10723.76,14734.41949,158008378.4
05/03/2018,BTC/USD,11479.68,11688,11383.66,11419.24,9933.676233,113435033
04/03/2018,BTC/USD,11445,11511,11054.91,11463.27,6831.630703,78312827.29
03/03/2018,BTC/USD,11032.81,11503.24,11022.85,11445,7786.26754,89113831.99
02/03/2018,BTC/USD,10917.37,11175,10774.01,11029.99,8329.097901,91869866.56
01/03/2018,BTC/USD,10314.99,11090,10223.41,10903.13,9481.665146,103379827.7
28/02/2018,BTC/USD,10572.49,11064.75,10255.07,10314.9,10490.74906,108211027.5
27/02/2018,BTC/USD,10324.7,10850,10150,10566.3,110086762.8,10408.48
26/02/2018,BTC/USD,9590.04,10461.97,9376.34,10324.7,162306362.4,16156.81
25/02/2018,BTC/USD,9689.99,9883.41,9260,9590.04,105367249.3,11037.18
24/02/2018,BTC/USD,10166.1,10540.63,9373.48,9689.99,137805304.5,13972.71
23/02/2018,BTC/USD,9843.34,10405.3,9600,10166.1,160782973.1,16044.04
22/02/2018,BTC/USD,10449.4,10935,9731.2,9843.34,206051152.4,20204.69
21/02/2018,BTC/USD,11233.41,11275.74,10256,10449.4,215353691.9,19959.68
